index,label,tweet
0,0,Kama mwanamke haupaswi kulalamika juu ya kusafisha nyumba yako. & amp; kama mwanamume unapaswa kuchukua takataka kila wakati ..
1,3,watoto wa kiume baridi ... tyga dwn mbaya kwa cuffin dat hoe katika nafasi ya 1 !!
2,3,Umewahi kutomba kitoto na anaanza kulia? Utachanganyikiwa kama shit
3,2,@viva_kwa msingi yeye anaonekana kama utulivu
4,6,Shit unayosikia juu yangu inaweza kuwa ya kweli au inaweza kuwa faker kuliko yule bitch aliyeiambia ya & # 57361;
5,2,"Ujinga unanipiga tu..dai wewe ni mwaminifu na unashuka kwa mtu lakini bado unacheza na majembe! ; & # 128514; """
6,3,"siwezi kukaa tu na CHUKI juu ya kitoto kingine .. nimepata ujinga mwingi!"""
7,3,sababu nimechoka na nyinyi wakubwa wanaokuja kwa ajili yetu wasichana wembamba !! & # 8221;
8,3,& amp; huenda usipate kurudi nyuma & amp; hiyo ni hiyo
9,2,"starehe ni pamoja na: kupigana Mariam"" """
10,3,Keeks ni bitch yeye hupinda kila mtu lol niliingia kwenye mazungumzo kama haya. Smh
11,3,Murda Gang bitch ardhi yake ya Genge
12,2,Kwa hivyo majembe ambayo moshi ni khasiri? Ndio ... endelea IG
13,3,vibanzi vibaya ndio kitu pekee ambacho napenda
14,2,jamaa ondoka kwangu
15,3,bitch nigga unikose nayo
16,3,jike plz chochote
17,2,jike unampenda nani
18,3,mateke hukatwa kila siku B
19,3,chupa nyeusi & amp; kitoto kibaya
20,3,amevunja mtoto mdogo asiniambie chochote
21,3,ghairi yule mjinga kama Nino
22,3,huwezi kuona majembe haya hayabadiliki
23,3,kutomba hakuna huyo mjinga hata anyonye Dick & # 128514; & # 128514; & # 128514; video za Kermit zinampiga IG up
24,3,//t.co/cOU2WQ5L4q
25,2,midomo yake ya pussy kama milango ya Mbinguni & # 128524;
26,3,jembe linampiga nini
27,3,nilikutana na yule mkundu kwenye Bahari ya Dk. nimempa kidonge kile kidonge & # 128524;
28,3,Nahitaji kitumbua cha mbwa-mwitu anayetamba na Hennessy
29,3,Natumia pesa zangu jinsi ninataka bitch biashara yangu
30,3,Ninatuma kitita changu cha zamani kitumbua changu kipya
31,3,Ningependa kusema im nyuma yangu ya zamani lakini kuumwa yangu ya zamani ingekuwa msisimko & # 128524;
32,3,ikiwa unapiga vita hiyo Mchezo wa Mauaji pussy nigga nyamaza
33,3,ikiwa vidole havijafanywa wewe unanuka
34,3,im done with bitches caps its a wrap for that. if you a angry bird theres a app for that Nimefanya na kuumwa na machungu
35,3,huyo ni mtoto
36,3,sio kitu cha kukata kitita
37,3,jus meet son now he ya mane punda anauma #Shots
38,2,viwete wakilia juu ya majembe hiyo ni machozi ya mtu mcheshi
39,3,kama Snoop alisema katika 94 hatupendi majembe haya
40,1,momma alisema hakuna paka pussy ndani ya nyumba yangu ya mbwa
41,3,//t.co/BMdSVMc3rC
42,3,//t.co/bzRDl3kF7U
43,3,pimps up pimps up majembe chini Sauti ya baadaye
44,3,chapisha picha ya yule mkundu upate kupendwa 200
45,3,//t.co/R8jsymiB5b
46,3,kipande cha haraka cha pussy kiite gari kwa
47,3,kukimbia hapa kama kitu kipya cha pussy mpya ambayo inaweza kupigwa
48,3,hawa kidogo hata mbaya zaidi watawatumia wavulana kwako
49,2,majembe haya kama niggas ambayo hutumia pesa sio kuongea juu yake
50,2,hatuamini hizi niggas hizi zote
51,3,yall niggas b cuffing majembe husababisha yall aint kamwe kuwa na kuumwa
52,3,"""Dawa zote nimezikata mjamzito au nimefungwa kuwa .... asante Mungu & # 128591;"" & # 8221;"
53,3,Kidonge Kidonge Chamberlain vibanzi hivi hupenda muziki wangu
54,2,& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; labda safi kuliko hizi nyingi za majembe ya twitter lakini ......... 
55,3,& # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; kutenda kama kuumwa leo usiku 
56,3,Na ima kuiba paka wake n badala yake na pitbull & # 128514; & # 128514; & # 128514; mtoto unapaswa kufanya hivyo 
57,3,& amp; ameenda kuwa jembe daima
58,3,"""... Mwana wa kitoto alichukua Tic Tacs yangu."" """
59,3,"Ninapenda sinema hii. """
60,2,..Ninachotaka kufanya ni kupata pesa na kuteka viunzi vya mfano! - Russell Simmons
61,3,pengine sikuwa na akili ya shule ikiwa hatukuhitaji kushughulika na waalimu wa punda wa bitch. Retweet
62,3,mimi ni fag fucking walisema
63,0,Wanawake wanadhani kuchumbiana na mtoto ni mzuri sasa? Http://t.co/VxBJg26Gsz ni kwa jinsi gani kufanya mambo haya kumfanya kuwa pussy?
64,3,-SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof moto mkali scally kijana
